Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
1.9961166,-123270.078125,0.0,0.0293158,2,2.0,0.0
1.9973865,-123042.8046875,0.0,0.0293067,2,2.0,0.0
1.9964547,-122815.3671875,0.0,0.0292986,2,2.0,0.0
1.9959086,-122587.703125,0.0,0.0292911,2,2.0,0.0
1.9963202,-122348.0703125,0.0,0.0292807,2,2.0,0.0
1.9969969,-122049.1484375,0.0,0.0292732,2,2.0,0.0
1.9962708,-121856.9921875,0.0,0.0292667,2,2.0,0.0
1.9966557,-121605.3046875,0.0,0.0292607,2,2.0,0.0
1.9961493,-121389.4765625,0.0,0.0292541,2,2.0,0.0
1.9964306,-121138.3515625,0.0,0.029246,2,2.0,0.0
1.9965919,-120886.671875,0.0,0.0292405,2,2.0,0.0
1.9959354,-120671.3984375,0.0,0.0292343,2,2.0,0.0
1.9958169,-120443.8359375,0.0,0.0292306,2,2.0,0.0
1.996497,-120144.1171875,0.0,0.0292239,2,2.0,0.0
1.9957738,-119952.4765625,0.0,0.0292193,2,2.0,0.0
1.9968122,-119724.8046875,0.0,0.0292139,2,2.0,0.0
1.9955618,-119437.625,0.0,0.0292075,2,2.0,0.0
1.9958926,-119186.171875,0.0,0.0292011,2,2.0,0.0
1.9961571,-118982.8515625,0.0,0.0291971,2,2.0,0.0
1.9956876,-118755.1953125,0.0,0.0291923,2,2.0,0.0
1.9966367,-118515.515625,0.0,0.0291873,2,2.0,0.0
1.9952455,-118227.9375,0.0,0.0291812,2,2.0,0.0
1.9966947,-117952.578125,0.0,0.0291748,2,2.0,0.0
1.9953203,-117773.171875,0.0,0.0291704,2,2.0,0.0
1.9965374,-117533.359375,0.0,0.0291651,2,2.0,0.0
1.9953612,-117318.078125,0.0,0.0291598,2,2.0,0.0
1.9961685,-117090.3984375,0.0,0.0291548,2,2.0,0.0
1.9957752,-116862.7109375,0.0,0.029149,2,2.0,0.0
1.9960765,-116551.4609375,0.0,0.0291405,2,2.0,0.0
1.9958898,-116323.9296875,0.0,0.0291337,2,2.0,0.0
1.9954927,-115988.5234375,0.0,0.0291267,2,2.0,0.0
1.9961358,-115761.1640625,0.0,0.0291206,2,2.0,0.0
1.9953809,-115533.78125,0.0,0.0291119,2,2.0,0.0
1.9959632,-115305.75,0.0,0.0291077,2,2.0,0.0
1.996051,-115161.5703125,0.0,0.0291025,2,2.0,0.0
1.9959747,-114850.3671875,0.0,0.0290944,2,2.0,0.0
1.996215,-114670.890625,0.0,0.0290887,2,2.0,0.0
