Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
2.019449,212.000015258789,0.0,0.023619,2,2.02,0.0100000000000002
2.002121,379.804443359375,0.0,0.0236187,2,2.0,-0.02
1.981359,631.185913085938,0.0,0.0236188,2,1.98,-0.02
1.9906672,811.290222167969,0.0,0.0236196,2,1.99,0.01
2.0080941,1202.70629882813,0.0,0.0236213,2,2.01,0.0199999999999997
1.9944129,1440.99987792969,0.0,0.0236235,2,1.99,-0.0199999999999997
1.9815364,1677.75378417969,0.0,0.023626,2,1.98,-0.01
1.9865719,1891.82897949219,0.0,0.023629,2,1.99,0.01
1.9888765,2130.56103515625,0.0,0.0236328,2,1.99,0.0
1.9887975,2393.42822265625,0.0,0.0236385,2,1.99,0.0
1.9906431,2608.69165039063,0.0,0.023642,2,1.99,0.0
1.9895197,2884.05126953125,0.0,0.0236489,2,1.99,0.0
2.0029383,3142.73754882813,0.0,0.0236568,2,2.0,0.01
1.9893987,3371.9541015625,0.0,0.0236616,2,1.99,-0.01
1.98616,3596.34594726563,0.0,0.0236688,2,1.99,0.0
1.9927219,3808.95263671875,0.0,0.0236765,2,1.99,0.0
1.9891465,4082.89428710938,0.0,0.0236856,2,1.99,0.0
1.9914182,4285.95263671875,0.0,0.0236921,2,1.99,0.0
1.9985913,4572.55078125,0.0,0.0237049,2,2.0,0.01
1.9855943,4914.0849609375,0.0,0.0237171,2,1.99,-0.01
1.9937959,5162.05126953125,0.0,0.0237265,2,1.99,0.0
1.9905881,5364.63330078125,0.0,0.0237371,2,1.99,0.0
2.0027242,5621.85009765625,0.0,0.02375,2,2.0,0.01
1.9979671,5850.74755859375,0.0,0.0237587,2,2.0,0.0
1.9903145,6146.01416015625,0.0,0.0237762,2,1.99,-0.01
1.9912628,6492.0234375,0.0,0.023794,2,1.99,0.0
1.9910469,6696.50390625,0.0,0.0238039,2,1.99,0.0
1.994545,6924.55517578125,0.0,0.0238172,2,1.99,0.0
1.9920499,7188.29833984375,0.0,0.0238339,2,1.99,0.0
1.994586,7380.6162109375,0.0,0.0238432,2,1.99,0.0
1.9938966,7572.708984375,0.0,0.023854,2,1.99,0.0
1.9932318,7788.75830078125,0.0,0.0238695,2,1.99,0.0
1.99413,8052.87353515625,0.0,0.023887,2,1.99,0.0
1.9943131,8281.115234375,0.0,0.0238986,2,1.99,0.0
1.9951993,8509.7998046875,0.0,0.0239145,2,2.0,0.01
1.9945161,8737.658203125,0.0,0.023929,2,1.99,-0.01
1.9953072,8977.806640625,0.0,0.0239446,2,2.0,0.01
1.9957552,9158.1748046875,0.0,0.0239631,2,2.0,0.0
1.9979695,9516.9208984375,0.0,0.0239864,2,2.0,0.0
