Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
4.0060072,-0.157376646995544,0.0,0.0234141,2,4.01,-95.99
4.0064297,-0.179859027266502,0.0,0.0234138,2,4.01,0.0
4.0041137,-0.269788533449173,0.0,0.0234137,2,4.0,-0.0099999999999997
4.0050988,-0.157376646995544,0.0,0.0234137,2,4.01,0.0099999999999997
4.0060158,-0.157376646995544,0.0,0.0234136,2,4.01,0.0
4.0031638,-0.224823787808418,0.0,0.0234136,2,4.0,-0.0099999999999997
4.0050302,-0.157376646995544,0.0,0.0234136,2,4.01,0.0099999999999997
4.0065494,-0.179859027266502,0.0,0.0234134,2,4.01,0.0
4.003377,-0.179859027266502,0.0,0.0234138,2,4.0,-0.0099999999999997
4.0044208,-0.292270928621292,0.0,0.0234151,2,4.0,0.0
4.0096879,-100.692291259766,0.0,0.0234313,2,4.01,0.0099999999999997
3.9992661,-292.68603515625,0.0,0.0234276,2,4.0,-0.0099999999999997
3.9941976,-491.136566162109,0.0,0.0234244,2,3.99,-0.0099999999999997
4.0011497,-738.424987792969,0.0,0.0234224,2,4.0,0.0099999999999997
3.9955149,-1050.44226074219,0.0,0.0234196,2,4.0,0.0
3.9976912,-1228.970703125,0.0,0.0234182,2,4.0,0.0
3.9998527,-1443.95129394531,0.0,0.0234175,2,4.0,0.0
3.9992192,-1671.35437011719,0.0,0.023417,2,4.0,0.0
3.9955914,-1924.01794433594,0.0,0.0234173,2,4.0,0.0
4.0037799,-2208.63891601563,0.0,0.0234184,2,4.0,0.0
4.0006647,-2427.87646484375,0.0,0.0234193,2,4.0,0.0
3.9974489,-2649.51440429688,0.0,0.0234211,2,4.0,0.0
3.9982765,-2921.79907226563,0.0,0.0234244,2,4.0,0.0
4.0002737,-3111.35400390625,0.0,0.0234266,2,4.0,0.0
3.9978647,-3349.79711914063,0.0,0.0234297,2,4.0,0.0
4.0005498,-3672.63793945313,0.0,0.0234354,2,4.0,0.0
3.9983699,-3876.15649414063,0.0,0.0234388,2,4.0,0.0
3.9996061,-4127.5234375,0.0,0.0234446,2,4.0,0.0
4.00035,-4330.76708984375,0.0,0.0234479,2,4.0,0.0
4.003695,-4530.23046875,0.0,0.0234543,2,4.0,0.0
4.0017576,-4791.95361328125,0.0,0.02346,2,4.0,0.0
3.9938166,-5101.18359375,0.0,0.0234683,2,3.99,-0.0099999999999997
4.0007539,-5326.15380859375,0.0,0.023477,2,4.0,0.0099999999999997
4.0005541,-5541.0234375,0.0,0.0234848,2,4.0,0.0
3.9980686,-5852.6689453125,0.0,0.0234946,2,4.0,0.0
4.0023494,-6132.5380859375,0.0,0.023505,2,4.0,0.0
3.9994872,-6336.2763671875,0.0,0.0235119,2,4.0,0.0
3.9987438,-6645.103515625,0.0,0.0235264,2,4.0,0.0
3.9993215,-6969.31591796875,0.0,0.0235387,2,4.0,0.0
4.0006595,-7221.189453125,0.0,0.0235525,2,4.0,0.0
4.0008254,-7563.974609375,0.0,0.0235648,2,4.0,0.0
3.996583,-7787.92724609375,0.0,0.0235763,2,4.0,0.0
4.001132,-8041.9169921875,0.0,0.0235905,2,4.0,0.0
3.9993463,-8291.8076171875,0.0,0.0235996,2,4.0,0.0
3.9996057,-8483.1240234375,0.0,0.0236122,2,4.0,0.0
3.9996693,-8794.818359375,0.0,0.0236258,2,4.0,0.0
4.0007362,-9022.9697265625,0.0,0.0236389,2,4.0,0.0
4.0006256,-9275.0546875,0.0,0.0236558,2,4.0,0.0
4.0006127,-9479.2841796875,0.0,0.0236654,2,4.0,0.0
4.0006385,-9815.4228515625,0.0,0.023686,2,4.0,0.0
4.0007234,-10068.291015625,0.0,0.0237011,2,4.0,0.0
4.0002007,-10308.4736328125,0.0,0.0237159,2,4.0,0.0
3.9992657,-10608.552734375,0.0,0.0237317,2,4.0,0.0
4.0017018,-10836.6533203125,0.0,0.0237477,2,4.0,0.0
3.9994993,-11076.857421875,0.0,0.0237655,2,4.0,0.0
4.0010338,-11303.677734375,0.0,0.0237812,2,4.0,0.0
4.0016251,-11521.4990234375,0.0,0.0237924,2,4.0,0.0
3.9996908,-11749.69140625,0.0,0.0238085,2,4.0,0.0
4.0020037,-12061.7685546875,0.0,0.0238323,2,4.0,0.0
4.0002518,-12290.2080078125,0.0,0.0238481,2,4.0,0.0
4.001204,-12506.38671875,0.0,0.023859,2,4.0,0.0
4.0002346,-12722.681640625,0.0,0.0238776,2,4.0,0.0
4.0009618,-12986.6396484375,0.0,0.0238955,2,4.0,0.0
4.0013614,-13191.2548828125,0.0,0.0239093,2,4.0,0.0
4.000052,-13527.6767578125,0.0,0.0239338,2,4.0,0.0
4.0006809,-13719.8798828125,0.0,0.0239514,2,4.0,0.0
4.0011616,-13948.0126953125,0.0,0.0239638,2,4.0,0.0
4.0019231,-14176.2880859375,0.0,0.0239798,2,4.0,0.0
4.0013742,-14416.541015625,0.0,0.0239987,2,4.0,0.0
4.0006638,-14656.7900390625,0.0,0.0240213,2,4.0,0.0
4.0003281,-14885.267578125,0.0,0.0240332,2,4.0,0.0
4.0004086,-15101.55078125,0.0,0.0240517,2,4.0,0.0
4.0004597,-15293.6572265625,0.0,0.0240702,2,4.0,0.0
4.0007615,-15545.884765625,0.0,0.0240889,2,4.0,0.0
4.0005193,-15894.115234375,0.0,0.0241158,2,4.0,0.0
4.0021143,-16122.697265625,0.0,0.0241289,2,4.0,0.0
4.0008297,-16350.5224609375,0.0,0.0241516,2,4.0,0.0
4.0003195,-16567.490234375,0.0,0.0241668,2,4.0,0.0
4.0025997,-16807.806640625,0.0,0.0241876,2,4.0,0.0
4.0013828,-17011.7734375,0.0,0.0242019,2,4.0,0.0
4.0008039,-17288.115234375,0.0,0.02422,2,4.0,0.0
3.999907,-17492.296875,0.0,0.0242391,2,4.0,0.0
4.0019655,-17696.251953125,0.0,0.0242573,2,4.0,0.0
4.001225,-17912.6015625,0.0,0.0242717,2,4.0,0.0
4.0002003,-18141.208984375,0.0,0.0242889,2,4.0,0.0
4.0023527,-18381.501953125,0.0,0.0243132,2,4.0,0.0
4.0007105,-18597.953125,0.0,0.0243267,2,4.0,0.0
4.0021868,-18837.8046875,0.0,0.0243458,2,4.0,0.0
4.0017104,-19017.98828125,0.0,0.0243583,2,4.0,0.0
4.0006471,-19246.00390625,0.0,0.0243825,2,4.0,0.0
