Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo
175.1099243,-0.269788533449173,90.0144,0.025018,2
174.7651978,-0.269788533449173,90.0144,0.025021,2
174.4229279,-0.269788533449173,90.0144,0.025025,2
174.0210571,-0.269788533449173,90.0144,0.02503,2
173.6705475,-0.269788533449173,90.0144,0.025034,2
173.2523651,-0.269788533449173,90.0144,0.025038,2
172.8981781,-0.269788533449173,90.0144,0.025042,2
172.4949188,-0.269788533449173,90.0144,0.025045,2
172.1563873,-0.269788533449173,90.0144,0.025047,2
171.8000641,-0.269788533449173,90.0144,0.02505,2
171.5404968,-0.269788533449173,90.0144,0.025052,2
171.182724,-0.269788533449173,90.0144,0.025054,2
170.8158569,-0.269788533449173,90.0144,0.025056,2
170.4221497,-0.269788533449173,90.0144,0.025059,2
170.0377197,-0.269788533449173,90.0144,0.02506,2
169.745224,-0.269788533449173,90.0144,0.025062,2
169.4827576,-0.269788533449173,90.0144,0.025063,2
169.1293182,-0.269788533449173,90.0144,0.025065,2
168.7746124,-0.269788533449173,90.0144,0.025066,2
168.3753815,-0.269788533449173,90.0144,0.025069,2
167.98703,-0.269788533449173,90.0144,0.02507,2
167.5801697,-0.269788533449173,90.0144,0.025072,2
167.2418365,-0.269788533449173,90.0144,0.025074,2
166.8928528,-0.269788533449173,90.0144,0.025075,2
166.5747833,-0.269788533449173,90.0144,0.025077,2
166.2389984,-0.269788533449173,90.0144,0.02508,2
165.882431,-0.269788533449173,90.0144,0.025082,2
165.6186218,-0.269788533449173,90.0144,0.025085,2
165.2074738,-0.269788533449173,90.0144,0.025088,2
164.8802032,-0.269788533449173,90.0144,0.025091,2
164.5613556,-0.269788533449173,90.0144,0.025095,2
164.1967926,-0.269788533449173,90.0144,0.025098,2
163.8518372,-0.269788533449173,90.0144,0.0251,2
163.6076202,-0.269788533449173,90.0144,0.025102,2
163.2621765,-0.269788533449173,90.0144,0.025104,2
163.0052643,-0.269788533449173,90.0144,0.025107,2
