Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
25.000782,-30.5192413330078,0.0,0.023776,2,25.0,0.0
25.0004959,-281.949127197266,0.0,0.0237714,2,25.0,0.0
25.0009441,-501.100952148438,0.0,0.0237687,2,25.0,0.0
25.000618,-751.104187011719,0.0,0.0237655,2,25.0,0.0
25.0012302,-966.143737792969,0.0,0.0237636,2,25.0,0.0
25.0008221,-1243.08850097656,0.0,0.0237619,2,25.0,0.0
25.0007401,-1449.66418457031,0.0,0.0237614,2,25.0,0.0
25.0008221,-1728.86865234375,0.0,0.023761,2,25.0,0.0
25.000618,-1931.75305175781,0.0,0.0237612,2,25.0,0.0
25.000536,-2239.26489257813,0.0,0.0237624,2,25.0,0.0
25.0010681,-2465.16821289063,0.0,0.0237639,2,25.0,0.0
25.000782,-2692.0400390625,0.0,0.0237661,2,25.0,0.0
25.0007,-2919.05859375,0.0,0.0237685,2,25.0,0.0
25.0010681,-3134.20141601563,0.0,0.0237716,2,25.0,0.0
25.0004959,-3390.6396484375,0.0,0.0237738,2,25.0,0.0
25.0010681,-3616.634765625,0.0,0.0237778,2,25.0,0.0
25.0007,-3890.20483398438,0.0,0.0237835,2,25.0,0.0
25.0010262,-4069.22729492188,0.0,0.0237865,2,25.0,0.0
25.0009861,-4188.8798828125,0.0,0.0237888,2,25.0,0.0
25.0006599,-4356.41796875,0.0,0.0237935,2,25.0,0.0
25.0011501,-4611.40966796875,0.0,0.0238003,2,25.0,0.0
25.000782,-4839.44482421875,0.0,0.0238067,2,25.0,0.0
25.0008221,-5064.42724609375,0.0,0.0238137,2,25.0,0.0
25.000618,-5303.07763671875,0.0,0.0238185,2,25.0,0.0
25.0009441,-5530.7216796875,0.0,0.0238255,2,25.0,0.0
25.0009861,-5650.31103515625,0.0,0.0238328,2,25.0,0.0
25.0009041,-5878.02685546875,0.0,0.0238384,2,25.0,0.0
25.000864,-6169.46142578125,0.0,0.0238512,2,25.0,0.0
25.0007401,-6388.4609375,0.0,0.0238577,2,25.0,0.0
25.0006599,-6625.36865234375,0.0,0.0238683,2,25.0,0.0
25.0002594,-6881.75830078125,0.0,0.0238797,2,25.0,0.0
24.9998093,-7097.9765625,0.0,0.0238897,2,25.0,0.0
25.0000134,-7336.70166015625,0.0,0.0238978,2,25.0,0.0
25.0000553,-7563.30615234375,0.0,0.0239079,2,25.0,0.0
25.0001373,-7860.54443359375,0.0,0.0239249,2,25.0,0.0
25.0005016,-8067.99609375,0.0,0.0239345,2,25.0,0.0
25.0004616,-8319.361328125,0.0,0.0239462,2,25.0,0.0
25.0005436,-8557.609375,0.0,0.0239622,2,25.0,0.0
25.0007057,-8772.662109375,0.0,0.0239754,2,25.0,0.0
25.0007477,-9012.6220703125,0.0,0.0239875,2,25.0,0.0
25.0007477,-9300.6630859375,0.0,0.0240031,2,25.0,0.0
25.0005436,-9528.8408203125,0.0,0.0240172,2,25.0,0.0
25.0007057,-9757.025390625,0.0,0.0240315,2,25.0,0.0
25.0006237,-9997.5791015625,0.0,0.0240461,2,25.0,0.0
25.0012341,-10213.9794921875,0.0,0.024055,2,25.0,0.0
25.0007877,-10502.0341796875,0.0,0.0240732,2,25.0,0.0
25.001194,-10766.1513671875,0.0,0.0240925,2,25.0,0.0
25.00103,-11078.251953125,0.0,0.0241098,2,25.0,0.0
25.00144,-11318.251953125,0.0,0.0241266,2,25.0,0.0
25.0011539,-11546.7158203125,0.0,0.0241437,2,25.0,0.0
25.0009899,-11774.8232421875,0.0,0.0241578,2,25.0,0.0
25.00144,-12015.236328125,0.0,0.0241745,2,25.0,0.0
25.001194,-12255.3759765625,0.0,0.0241889,2,25.0,0.0
25.00144,-12435.626953125,0.0,0.0242059,2,25.0,0.0
25.001358,-12663.9501953125,0.0,0.0242207,2,25.0,0.0
25.0009499,-12904.0048828125,0.0,0.0242418,2,25.0,0.0
25.0009079,-13132.318359375,0.0,0.0242586,2,25.0,0.0
25.0008259,-13348.693359375,0.0,0.024272,2,25.0,0.0
25.0006237,-13589.09765625,0.0,0.0242881,2,25.0,0.0
25.0009079,-13817.2783203125,0.0,0.0243054,2,25.0,0.0
25.0013027,-14141.64453125,0.0,0.0243328,2,25.0,0.0
25.0013847,-14430.0400390625,0.0,0.024356,2,25.0,0.0
25.0011806,-14682.1318359375,0.0,0.0243737,2,25.0,0.0
25.0013027,-14922.60546875,0.0,0.0243916,2,25.0,0.0
25.0009384,-15174.9462890625,0.0,0.0244142,2,25.0,0.0
25.0011005,-15402.99609375,0.0,0.0244323,2,25.0,0.0
25.0010204,-15631.4794921875,0.0,0.0244514,2,25.0,0.0
25.0011005,-15847.5146484375,0.0,0.0244668,2,25.0,0.0
25.0012627,-16147.8427734375,0.0,0.0244928,2,25.0,0.0
25.0007744,-16376.08203125,0.0,0.0245122,2,25.0,0.0
25.0008965,-16616.869140625,0.0,0.0245298,2,25.0,0.0
25.0011425,-16821.224609375,0.0,0.0245445,2,25.0,0.0
25.0005322,-17061.380859375,0.0,0.0245631,2,25.0,0.0
25.0008564,-17289.302734375,0.0,0.0245828,2,25.0,0.0
25.0012245,-17601.63671875,0.0,0.0246114,2,25.0,0.0
25.0012245,-17938.13671875,0.0,0.0246393,2,25.0,0.0
25.0015068,-18166.701171875,0.0,0.0246592,2,25.0,0.0
25.0013447,-18382.546875,0.0,0.0246741,2,25.0,0.0
25.0014267,-18707.0703125,0.0,0.0247024,2,25.0,0.0
25.0013847,-18983.25,0.0,0.0247214,2,25.0,0.0
25.0015488,-19199.384765625,0.0,0.0247407,2,25.0,0.0
25.0017128,-19403.552734375,0.0,0.0247599,2,25.0,0.0
25.0013847,-19619.66796875,0.0,0.0247791,2,25.0,0.0
25.0008965,-19860.814453125,0.0,0.0247952,2,25.0,0.0
25.0012245,-20076.998046875,0.0,0.0248155,2,25.0,0.0
25.0014267,-20329.40234375,0.0,0.0248337,2,25.0,0.0
25.0007343,-20545.498046875,0.0,0.024854,2,25.0,0.0
25.0011806,-20797.548828125,0.0,0.0248792,2,25.0,0.0
25.0010605,-21025.990234375,0.0,0.0248975,2,25.0,0.0
25.0016708,-21313.966796875,0.0,0.0249187,2,25.0,0.0
25.0013027,-21554.48046875,0.0,0.0249371,2,25.0,0.0
25.0013027,-21770.537109375,0.0,0.0249573,2,25.0,0.0
25.0015068,-21998.78515625,0.0,0.0249766,2,25.0,0.0
25.0017128,-22239.099609375,0.0,0.0249948,2,25.0,0.0
25.0013847,-22479.146484375,0.0,0.025021,2,25.0,0.0
25.0014668,-22707.451171875,0.0,0.0250402,2,25.0,0.0
25.0014267,-22995.658203125,0.0,0.0250604,2,25.0,0.0
25.0016308,-23212.255859375,0.0,0.0250806,2,25.0,0.0
25.0015488,-23476.767578125,0.0,0.0251037,2,25.0,0.0
25.0014267,-23680.78515625,0.0,0.0251188,2,25.0,0.0
25.0010605,-23933.091796875,0.0,0.0251428,2,25.0,0.0
25.0010605,-24161.056640625,0.0,0.0251558,2,25.0,0.0
25.0013447,-24377.3125,0.0,0.0251748,2,25.0,0.0
25.0013447,-24617.5546875,0.0,0.0251947,2,25.0,0.0
25.0014668,-24870.09375,0.0,0.0252195,2,25.0,0.0
25.0013847,-25122.380859375,0.0,0.0252383,2,25.0,0.0
25.0013027,-25362.28125,0.0,0.0252571,2,25.0,0.0
