Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
99.9723129,-44.1456985473633,0.0,0.0247951,2,99.97,0.0
99.9732819,-398.73193359375,0.0,0.024792,2,99.97,0.0
99.9741211,-624.197204589844,0.0,0.0247891,2,99.97,0.0
99.9703674,-885.087585449219,0.0,0.0247865,2,99.97,0.0
99.9728775,-1111.50756835938,0.0,0.0247856,2,99.97,0.0
99.9738464,-1338.19006347656,0.0,0.0247842,2,99.97,0.0
99.9737091,-1624.39440917969,0.0,0.024784,2,99.97,0.0
99.9742584,-1893.33947753906,0.0,0.0247838,2,99.97,0.0
99.9738464,-2226.2802734375,0.0,0.0247845,2,99.97,0.0
99.9746857,-2441.0263671875,0.0,0.0247857,2,99.97,0.0
99.9749527,-2751.8916015625,0.0,0.0247875,2,99.97,0.0
99.9769058,-2943.35302734375,0.0,0.0247899,2,99.98,0.0100000000000051
99.9770508,-3350.45458984375,0.0,0.0247949,2,99.98,0.0
99.9770508,-3699.515625,0.0,0.024799,2,99.98,0.0
99.9773331,-3992.24731445313,0.0,0.0248041,2,99.98,0.0
99.978302,-4227.94189453125,0.0,0.0248089,2,99.98,0.0
99.9780197,-4453.29833984375,0.0,0.0248123,2,99.98,0.0
99.9736938,-4728.05712890625,0.0,0.02482,2,99.97,-0.0100000000000051
99.9743881,-4925.05029296875,0.0,0.0248243,2,99.97,0.0
99.975647,-5212.30322265625,0.0,0.024832,2,99.98,0.0100000000000051
99.975647,-5442.2294921875,0.0,0.0248404,2,99.98,0.0
99.9749527,-5792.919921875,0.0,0.024849,2,99.97,-0.0100000000000051
99.9750977,-6017.3857421875,0.0,0.0248608,2,99.98,0.0100000000000051
99.9771805,-6295.35595703125,0.0,0.0248694,2,99.98,0.0
99.9773178,-6496.17333984375,0.0,0.0248785,2,99.98,0.0
99.9769058,-6804.640625,0.0,0.0248887,2,99.98,0.0
99.9792709,-7043.890625,0.0,0.0248985,2,99.98,0.0
99.9777374,-7427.86181640625,0.0,0.0249149,2,99.98,0.0
99.9792709,-7740.02783203125,0.0,0.0249278,2,99.98,0.0
99.979126,-8040.09765625,0.0,0.0249422,2,99.98,0.0
99.9797058,-8304.4951171875,0.0,0.0249555,2,99.98,0.0
