Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
100.0219116,140000.375,0.0,0.0329175,2,100.02,50.019999999999996
100.0226212,140000.375,0.0,0.0329174,2,100.02,0.0
100.0194092,140000.375,0.0,0.0329174,2,100.02,0.0
100.0191345,140000.375,0.0,0.0329174,2,100.02,0.0
100.0152283,140000.375,0.0,0.0329175,2,100.02,0.0
100.0168991,140000.375,0.0,0.0329176,2,100.02,0.0
100.0157852,140000.375,0.0,0.0329175,2,100.02,0.0
100.0128555,140000.375,0.0,0.0329175,2,100.01,-0.009999999999990905
100.0120163,140000.375,0.0,0.0329174,2,100.01,0.0
100.0106354,140000.375,0.0,0.0329175,2,100.01,0.0
100.0106354,140000.375,0.0,0.0329176,2,100.01,0.0
100.0086823,140000.375,0.0,0.0329176,2,100.01,0.0
100.0089645,140000.375,0.0,0.0329176,2,100.01,0.0
100.0085373,140000.375,0.0,0.0329176,2,100.01,0.0
100.0050583,140000.875,0.0,0.0329173,2,100.01,0.0
100.0051956,140000.78125,0.0,0.0329171,2,100.01,0.0
100.0063171,140000.765625,0.0,0.0329171,2,100.01,0.0
100.0018539,140000.75,0.0,0.0329171,2,100.0,-0.010000000000005116
100.0025482,140000.78125,0.0,0.0329173,2,100.0,0.0
100.0039368,140000.765625,0.0,0.0329173,2,100.0,0.0
100.0018539,140000.78125,0.0,0.0329174,2,100.0,0.0
100.0000458,140000.71875,0.0,0.0329176,2,100.0,0.0
100.0017166,140000.71875,0.0,0.0329177,2,100.0,0.0
99.9999084,140000.765625,0.0,0.0329183,2,100.0,0.0
100.0015717,139840.390625,0.0,0.0329182,2,100.0,0.0
99.9996262,139517.625,0.0,0.0329161,2,100.0,0.0
99.9993515,139158.40625,0.0,0.0329115,2,100.0,0.0
99.9994812,138848.953125,0.0,0.0329042,2,100.0,0.0
99.9975433,138598.125,0.0,0.0328982,2,100.0,0.0
99.9953079,138395.109375,0.0,0.0328931,2,100.0,0.0
99.995163,138142.875,0.0,0.0328826,2,100.0,0.0
99.9954453,137855.671875,0.0,0.0328707,2,100.0,0.0
99.9932175,137496.34375,0.0,0.0328545,2,99.99,-0.010000000000005116
99.9957275,137161.265625,0.0,0.0328385,2,100.0,0.010000000000005116
99.9900131,136957.546875,0.0,0.0328281,2,99.99,-0.010000000000005116
99.9919662,136670.046875,0.0,0.0328159,2,99.99,0.0
99.9907074,136430.140625,0.0,0.0328014,2,99.99,0.0
99.9909897,136058.8125,0.0,0.0327855,2,99.99,0.0
99.9900131,135831.328125,0.0,0.0327731,2,99.99,0.0
99.98806,135591.796875,0.0,0.0327636,2,99.99,0.0
99.9900131,135376.203125,0.0,0.0327514,2,99.99,0.0
99.9875107,135100.46875,0.0,0.0327371,2,99.99,0.0
99.9891815,134728.640625,0.0,0.0327227,2,99.99,0.0
