Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
6.0081754,25.1251125335693,0.0,0.0234295,2,6.01,0.0
6.0025644,274.870178222656,0.0,0.0234285,2,6.0,-0.0099999999999997
6.0018983,489.739837646484,0.0,0.0234284,2,6.0,0.0
6.0017524,731.949768066406,0.0,0.0234288,2,6.0,0.0
6.0040116,958.217346191406,0.0,0.0234296,2,6.0,0.0
6.0049849,1186.86608886719,0.0,0.0234309,2,6.0,0.0
6.0041265,1425.15625,0.0,0.023433,2,6.0,0.0
6.002419,1693.05981445313,0.0,0.0234372,2,6.0,0.0
6.0026793,1900.11779785156,0.0,0.0234391,2,6.0,0.0
6.0059123,2176.07153320313,0.0,0.0234427,2,6.01,0.0099999999999997
6.0032225,2413.79125976563,0.0,0.0234469,2,6.0,-0.0099999999999997
6.0025868,2508.2138671875,0.0,0.0234498,2,6.0,0.0
6.0016909,2733.01342773438,0.0,0.0234547,2,6.0,0.0
6.0038128,3030.67333984375,0.0,0.0234617,2,6.0,0.0
6.0029392,3281.95361328125,0.0,0.0234692,2,6.0,0.0
6.0023956,3485.31982421875,0.0,0.0234739,2,6.0,0.0
6.0056133,3711.50732421875,0.0,0.0234822,2,6.01,0.0099999999999997
6.0046396,3969.86108398438,0.0,0.0234904,2,6.0,-0.0099999999999997
6.0020876,4171.349609375,0.0,0.0234969,2,6.0,0.0
6.0014834,4420.375,0.0,0.0235048,2,6.0,0.0
6.0029073,4647.0849609375,0.0,0.0235139,2,6.0,0.0
6.004447,4862.38330078125,0.0,0.0235237,2,6.0,0.0
6.0027308,5173.8349609375,0.0,0.0235375,2,6.0,0.0
6.004868,5340.474609375,0.0,0.0235454,2,6.0,0.0
6.0054584,5648.3544921875,0.0,0.0235597,2,6.01,0.0099999999999997
6.0008864,5851.8876953125,0.0,0.0235678,2,6.0,-0.0099999999999997
6.0026779,6115.5966796875,0.0,0.0235813,2,6.0,0.0
6.0041323,6316.34228515625,0.0,0.0235918,2,6.0,0.0
6.0028386,6625.98974609375,0.0,0.0236051,2,6.0,0.0
6.0031447,6890.03662109375,0.0,0.0236223,2,6.0,0.0
