Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
9.9920073,-140000.359375,0.0,0.029991,2,9.99,7.98
9.9907217,-140000.359375,0.0,0.0299912,2,9.99,0.0
9.9881468,-140000.359375,0.0,0.0299913,2,9.99,0.0
9.9861603,-140000.359375,0.0,0.0299913,2,9.99,0.0
9.9853544,-140000.359375,0.0,0.0299913,2,9.99,0.0
9.9851742,-140000.359375,0.0,0.0299913,2,9.99,0.0
9.9855032,-140000.359375,0.0,0.0299914,2,9.99,0.0
9.9859667,-140000.359375,0.0,0.0299914,2,9.99,0.0
9.986742,-140000.359375,0.0,0.0299916,2,9.99,0.0
9.987937,-140000.359375,0.0,0.0299916,2,9.99,0.0
9.9888325,-140000.359375,0.0,0.0299914,2,9.99,0.0
9.9894457,-140000.359375,0.0,0.0299913,2,9.99,0.0
9.9896545,-140000.359375,0.0,0.0299914,2,9.99,0.0
9.9898796,-140000.359375,0.0,0.0299912,2,9.99,0.0
9.9898796,-140001.125,0.0,0.0299912,2,9.99,0.0
9.9900436,-140001.125,0.0,0.0299912,2,9.99,0.0
9.9903278,-140001.140625,0.0,0.0299912,2,9.99,0.0
9.9902678,-140001.140625,0.0,0.0299913,2,9.99,0.0
9.9903126,-140001.125,0.0,0.0299915,2,9.99,0.0
9.9900875,-140001.15625,0.0,0.0299916,2,9.99,0.0
9.9899988,-140001.1875,0.0,0.0299917,2,9.99,0.0
9.9898643,-140001.1875,0.0,0.0299917,2,9.99,0.0
9.9898939,-140001.1875,0.0,0.0299918,2,9.99,0.0
9.9902525,-140001.125,0.0,0.0299917,2,9.99,0.0
9.9902821,-139904.671875,0.0,0.0299917,2,9.99,0.0
9.9908953,-139673.515625,0.0,0.0299913,2,9.99,0.0
9.9917326,-139420.71875,0.0,0.0299901,2,9.99,0.0
9.991971,-139194.140625,0.0,0.0299883,2,9.99,0.0
9.9928532,-138860.8125,0.0,0.0299862,2,9.99,0.0
9.9929428,-138610.296875,0.0,0.0299839,2,9.99,0.0
9.9940033,-138383.328125,0.0,0.0299801,2,9.99,0.0
9.9943018,-138143.859375,0.0,0.0299772,2,9.99,0.0
9.9946308,-137892.46875,0.0,0.0299726,2,9.99,0.0
9.9949303,-137641.203125,0.0,0.0299674,2,9.99,0.0
9.9951839,-137437.859375,0.0,0.0299642,2,10.0,0.009999999999999787
9.9952431,-137318.1875,0.0,0.0299617,2,10.0,0.0
9.9953032,-137126.5,0.0,0.0299572,2,10.0,0.0
9.9949589,-136923.109375,0.0,0.0299529,2,9.99,-0.009999999999999787
9.9951086,-136611.390625,0.0,0.0299453,2,10.0,0.009999999999999787
9.9953775,-136336.234375,0.0,0.0299391,2,10.0,0.0
9.9957075,-136120.703125,0.0,0.0299356,2,10.0,0.0
9.9957829,-135821.28125,0.0,0.0299279,2,10.0,0.0
9.9960365,-135593.671875,0.0,0.0299227,2,10.0,0.0
9.996336,-135378.125,0.0,0.0299185,2,10.0,0.0
9.9966955,-135126.890625,0.0,0.0299109,2,10.0,0.0
9.9968443,-134898.625,0.0,0.0299073,2,10.0,0.0
9.9971437,-134682.953125,0.0,0.0299019,2,10.0,0.0
9.9972486,-134551.453125,0.0,0.029897,2,10.0,0.0
9.997323,-134252.078125,0.0,0.0298893,2,10.0,0.0
9.9976969,-134036.625,0.0,0.0298843,2,10.0,0.0
9.9978619,-133821.125,0.0,0.0298779,2,10.0,0.0
9.9979057,-133593.640625,0.0,0.0298713,2,10.0,0.0
9.9982815,-133341.9375,0.0,0.029863,2,10.0,0.0
9.9986696,-133054.546875,0.0,0.029854,2,10.0,0.0
9.9986258,-132827.078125,0.0,0.0298464,2,10.0,0.0
9.9988346,-132599.640625,0.0,0.029839,2,10.0,0.0
9.9988947,-132371.96875,0.0,0.0298326,2,10.0,0.0
9.9991941,-132144.671875,0.0,0.0298255,2,10.0,0.0
9.9993439,-131917.28125,0.0,0.029818,2,10.0,0.0
