Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
4.0060072,-0.157376646995544,0.0,0.0234141,2,4.01,-95.99
4.0064297,-0.179859027266502,0.0,0.0234138,2,4.01,0.0
4.0041137,-0.269788533449173,0.0,0.0234137,2,4.0,-0.009999999999999787
4.0050988,-0.157376646995544,0.0,0.0234137,2,4.01,0.009999999999999787
4.0060158,-0.157376646995544,0.0,0.0234136,2,4.01,0.0
4.0031638,-0.224823787808418,0.0,0.0234136,2,4.0,-0.009999999999999787
4.0050302,-0.157376646995544,0.0,0.0234136,2,4.01,0.009999999999999787
4.0065494,-0.179859027266502,0.0,0.0234134,2,4.01,0.0
4.003377,-0.179859027266502,0.0,0.0234138,2,4.0,-0.009999999999999787
4.0044208,-0.292270928621292,0.0,0.0234151,2,4.0,0.0
4.0068779,125.345123291016,0.0,0.0234153,2,4.01,0.009999999999999787
4.0171785,290.468811035156,0.0,0.0234154,2,4.02,0.009999999999999787
4.0151005,546.059936523438,0.0,0.0234159,2,4.02,0.0
3.9989235,754.314758300781,0.0,0.0234164,2,4.0,-0.019999999999999574
4.0016909,994.770874023438,0.0,0.0234174,2,4.0,0.0
4.0091166,1306.89807128906,0.0,0.0234194,2,4.01,0.009999999999999787
4.0055165,1630.55786132813,0.0,0.0234223,2,4.01,0.0
4.0064125,1870.38159179688,0.0,0.0234245,2,4.01,0.0
4.004796,2097.96533203125,0.0,0.0234275,2,4.0,-0.009999999999999787
4.0045357,2301.29638671875,0.0,0.0234312,2,4.0,0.0
4.0048513,2576.71606445313,0.0,0.0234364,2,4.0,0.0
4.0060458,2852.1025390625,0.0,0.0234433,2,4.01,0.009999999999999787
4.0045357,3199.4345703125,0.0,0.0234513,2,4.0,-0.009999999999999787
4.0046349,3415.63891601563,0.0,0.0234567,2,4.0,0.0
4.0051122,3727.150390625,0.0,0.0234669,2,4.01,0.009999999999999787
4.0041614,4014.67407226563,0.0,0.0234758,2,4.0,-0.009999999999999787
4.0051718,4218.26953125,0.0,0.0234821,2,4.01,0.009999999999999787
4.0041871,4469.84619140625,0.0,0.0234903,2,4.0,-0.009999999999999787
4.0039954,4721.39306640625,0.0,0.0235013,2,4.0,0.0
4.0050611,4997.28515625,0.0,0.023513,2,4.01,0.009999999999999787
4.0038848,5236.8955078125,0.0,0.0235228,2,4.0,-0.009999999999999787
4.0046606,5452.46826171875,0.0,0.0235301,2,4.0,0.0
4.0043917,5680.02587890625,0.0,0.0235411,2,4.0,0.0
4.0051675,5931.8583984375,0.0,0.0235538,2,4.01,0.009999999999999787
4.0031352,6159.2861328125,0.0,0.023564,2,4.0,-0.009999999999999787
4.0047669,6374.9873046875,0.0,0.0235757,2,4.0,0.0
4.0036206,6699.2060546875,0.0,0.0235951,2,4.0,0.0
4.0044217,7022.77734375,0.0,0.0236098,2,4.0,0.0
4.0050354,7262.2373046875,0.0,0.0236279,2,4.01,0.009999999999999787
4.0034628,7489.84130859375,0.0,0.0236416,2,4.0,-0.009999999999999787
4.0036631,7693.40869140625,0.0,0.0236519,2,4.0,0.0
4.0040298,7944.78125,0.0,0.0236655,2,4.0,0.0
4.0045152,8052.6767578125,0.0,0.0236732,2,4.0,0.0
4.0045071,8172.48779296875,0.0,0.0236824,2,4.0,0.0
4.0042124,8460.0458984375,0.0,0.0236997,2,4.0,0.0
4.0039611,8699.3125,0.0,0.0237191,2,4.0,0.0
4.0032029,8938.7138671875,0.0,0.0237357,2,4.0,0.0
4.003365,9142.328125,0.0,0.0237474,2,4.0,0.0
4.005219,9393.4287109375,0.0,0.0237697,2,4.01,0.009999999999999787
4.0035567,9704.873046875,0.0,0.0237897,2,4.0,-0.009999999999999787
4.0051079,10016.634765625,0.0,0.0238153,2,4.01,0.009999999999999787
4.0031862,10256.240234375,0.0,0.0238307,2,4.0,-0.009999999999999787
4.0048265,10459.79296875,0.0,0.0238454,2,4.0,0.0
4.0030985,10735.109375,0.0,0.0238687,2,4.0,0.0
4.0043468,10986.5361328125,0.0,0.0238866,2,4.0,0.0
4.0045772,11250.1962890625,0.0,0.0239057,2,4.0,0.0
4.0029836,11465.9677734375,0.0,0.0239231,2,4.0,0.0
4.0055065,11681.9013671875,0.0,0.0239435,2,4.01,0.009999999999999787
4.0043893,11957.419921875,0.0,0.0239672,2,4.0,-0.009999999999999787
4.0038271,12173.62109375,0.0,0.0239803,2,4.0,0.0
4.0051184,12413.3134765625,0.0,0.0240065,2,4.01,0.009999999999999787
4.0030899,12629.15234375,0.0,0.0240196,2,4.0,-0.009999999999999787
4.0047603,12869.177734375,0.0,0.0240441,2,4.0,0.0
4.0033369,13073.3583984375,0.0,0.0240616,2,4.0,0.0
4.0047178,13421.5986328125,0.0,0.0240917,2,4.0,0.0
4.0037842,13757.66796875,0.0,0.0241211,2,4.0,0.0
4.0047603,13973.6474609375,0.0,0.0241358,2,4.0,0.0
4.0032349,14237.876953125,0.0,0.0241623,2,4.0,0.0
4.0037289,14441.849609375,0.0,0.0241772,2,4.0,0.0
4.0047731,14669.876953125,0.0,0.0241975,2,4.0,0.0
4.0026808,14898.3916015625,0.0,0.0242179,2,4.0,0.0
4.0038738,15186.4521484375,0.0,0.024244,2,4.0,0.0
4.0046964,15450.5869140625,0.0,0.0242702,2,4.0,0.0
4.0045514,15666.6513671875,0.0,0.0242922,2,4.0,0.0
4.0039592,15870.943359375,0.0,0.0243064,2,4.0,0.0
4.0027494,16123.0126953125,0.0,0.024334,2,4.0,0.0
4.0031114,16387.80078125,0.0,0.0243539,2,4.0,0.0
4.0040231,16580.064453125,0.0,0.0243774,2,4.0,0.0
4.0041251,16892.3046875,0.0,0.0244041,2,4.0,0.0
4.003716,17096.447265625,0.0,0.0244198,2,4.0,0.0
4.0044832,17336.673828125,0.0,0.0244468,2,4.0,0.0
4.002728,17553.03125,0.0,0.0244637,2,4.0,0.0
4.0028343,17805.048828125,0.0,0.0244874,2,4.0,0.0
4.003252,18033.48046875,0.0,0.0245077,2,4.0,0.0
4.0049396,18273.841796875,0.0,0.0245348,2,4.0,0.0
4.0039721,18490.1171875,0.0,0.0245506,2,4.0,0.0
4.0036612,18790.173828125,0.0,0.0245846,2,4.0,0.0
4.0036097,19138.59765625,0.0,0.0246108,2,4.0,0.0
4.0033841,19378.646484375,0.0,0.0246313,2,4.0,0.0
