Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
8.0043001,-17.3475570678711,0.0,0.0234561,2,8.0,0.0
8.0030937,-233.315643310547,0.0,0.023452,2,8.0,0.0
8.0013876,-473.968017578125,0.0,0.0234487,2,8.0,0.0
8.0027761,-761.02880859375,0.0,0.023446,2,8.0,0.0
8.0032873,-1018.19415283203,0.0,0.0234435,2,8.0,0.0
8.0046415,-1248.38916015625,0.0,0.0234421,2,8.0,0.0
8.0045958,-1451.05773925781,0.0,0.0234415,2,8.0,0.0
8.0041294,-1699.84265136719,0.0,0.0234411,2,8.0,0.0
8.0043116,-1925.92468261719,0.0,0.0234412,2,8.0,0.0
8.0041294,-2044.97021484375,0.0,0.0234415,2,8.0,0.0
8.0037994,-2283.859375,0.0,0.0234429,2,8.0,0.0
8.0048122,-2582.87182617188,0.0,0.0234458,2,8.0,0.0
8.0060081,-2899.04443359375,0.0,0.0234481,2,8.01,0.0099999999999997
8.0038567,-3175.07006835938,0.0,0.0234515,2,8.0,-0.0099999999999997
8.0028324,-3388.53002929688,0.0,0.0234555,2,8.0,0.0
8.0027761,-3590.359375,0.0,0.0234581,2,8.0,0.0
8.0018997,-3829.19360351563,0.0,0.0234622,2,8.0,0.0
8.0024862,-4104.20751953125,0.0,0.0234684,2,8.0,0.0
8.0040569,-4319.70654296875,0.0,0.0234726,2,8.0,0.0
8.0038519,-4575.85546875,0.0,0.0234806,2,8.0,0.0
8.0021791,-4843.0048828125,0.0,0.0234872,2,8.0,0.0
8.0019855,-5067.67626953125,0.0,0.0234919,2,8.0,0.0
8.0024862,-5294.0107421875,0.0,0.0234985,2,8.0,0.0
8.0022249,-5531.01806640625,0.0,0.0235086,2,8.0,0.0
8.0027256,-5745.9853515625,0.0,0.0235143,2,8.0,0.0
8.0034761,-5985.68310546875,0.0,0.0235215,2,8.0,0.0
8.0033054,-6105.51318359375,0.0,0.0235267,2,8.0,0.0
8.0026798,-6417.2021484375,0.0,0.0235398,2,8.0,0.0
8.0023956,-6621.66259765625,0.0,0.0235487,2,8.0,0.0
8.0024633,-6861.98876953125,0.0,0.0235588,2,8.0,0.0
8.0029297,-7091.93798828125,0.0,0.0235681,2,8.0,0.0
8.0033503,-7321.455078125,0.0,0.0235763,2,8.0,0.0
8.0019751,-7607.12158203125,0.0,0.0235923,2,8.0,0.0
8.0019627,-7846.787109375,0.0,0.0236034,2,8.0,0.0
8.0023613,-8051.212890625,0.0,0.023611,2,8.0,0.0
8.0026121,-8282.7509765625,0.0,0.0236245,2,8.0,0.0
8.0025091,-8628.1484375,0.0,0.0236414,2,8.0,0.0
8.0014744,-8939.7431640625,0.0,0.0236609,2,8.0,0.0
8.0025549,-9287.96484375,0.0,0.0236764,2,8.0,0.0
8.0027256,-9504.044921875,0.0,0.0236894,2,8.0,0.0
8.002964,-9732.2724609375,0.0,0.0237034,2,8.0,0.0
8.0029869,-9984.9169921875,0.0,0.0237156,2,8.0,0.0
8.0029755,-10222.115234375,0.0,0.0237354,2,8.0,0.0
8.0028849,-10454.484375,0.0,0.0237489,2,8.0,0.0
8.0024176,-10742.3994140625,0.0,0.0237646,2,8.0,0.0
8.0017242,-10970.1748046875,0.0,0.0237785,2,8.0,0.0
8.0023746,-11197.693359375,0.0,0.0237997,2,8.0,0.0
8.0030003,-11498.0849609375,0.0,0.0238146,2,8.0,0.0
8.0027618,-11690.576171875,0.0,0.0238258,2,8.0,0.0
8.0026016,-11918.7021484375,0.0,0.0238414,2,8.0,0.0
8.0028191,-12170.9794921875,0.0,0.0238611,2,8.0,0.0
8.0030804,-12374.9931640625,0.0,0.0238786,2,8.0,0.0
8.0023632,-12687.513671875,0.0,0.0238981,2,8.0,0.0
8.0020676,-13059.287109375,0.0,0.0239222,2,8.0,0.0
8.0028534,-13240.2353515625,0.0,0.0239336,2,8.0,0.0
8.0034781,-13480.689453125,0.0,0.0239501,2,8.0,0.0
8.0029554,-13696.900390625,0.0,0.0239685,2,8.0,0.0
8.0027275,-13948.9453125,0.0,0.0239925,2,8.0,0.0
8.0025339,-14165.21875,0.0,0.0240033,2,8.0,0.0
8.0020342,-14393.4140625,0.0,0.0240204,2,8.0,0.0
8.0019999,-14573.5693359375,0.0,0.0240331,2,8.0,0.0
8.0020456,-14801.802734375,0.0,0.0240504,2,8.0,0.0
8.0019197,-15030.412109375,0.0,0.0240687,2,8.0,0.0
8.0016136,-15282.4501953125,0.0,0.0240888,2,8.0,0.0
8.0023975,-15474.751953125,0.0,0.0241036,2,8.0,0.0
8.0028296,-15727.0576171875,0.0,0.0241212,2,8.0,0.0
8.0028534,-15943.0986328125,0.0,0.0241398,2,8.0,0.0
8.0028982,-16231.40625,0.0,0.0241633,2,8.0,0.0
